請問您的性別是?,請問您最主要使用的手機品牌為何?(單選),當提到“音樂串流App”，請問您聯想到的品牌有哪些?第一個聯想到的品牌,第二個聯想到的品牌,第三個聯想到的品牌,"請問以下哪些音樂串流App是您知道或聽過的? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都沒聽過","請問您認為哪個App的logo設計有記憶點? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App的廣告吸引人? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App是親友會推薦的? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App的網路口碑好? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App的曲庫多/經常推出新歌曲? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App的會員制度好? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App的使用者介面親切易懂? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App的歌曲風格/類別多? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App容易在社群網站上做分享? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App包含多國語言歌曲? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App歌曲風格/類別多? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App的風格是獨特的? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App是潮流的/流行的? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App是創新的? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App是貼心的? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App是貼近生活的? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App是有質感的? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App是國際的? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合","請問您認為哪個App是專業的? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不符合",不論您是否曾聽過/使用過以下的品牌，請依您對這些品牌的整體喜好程度做一個排名，請將所有品牌排名排完。 - 總排序,"請問您在選擇要使用哪個“音樂串流App”時，考量的因素包含哪些? - 歌曲數目多, 介面使用方便, 具定時停止播放功能, 有自己關注的歌手、DJ, 推薦歌單符合需求, 可以更換介面主題, 價格合理, 經常有特價/促銷活動, 親朋好友推薦, 網路口碑好, 有音樂人、專家使用, 是我熟悉、習慣使用的品牌","包括目前有使用的音樂串流App，請問您曾經使用過哪些品牌的音樂串流App? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不曾使用過","請問您最近一年使用過的哪些品牌的音樂串流App? - KKBOX, Spotify, Apple Music, My Music, Street Voice, Mixer Box, QQ音樂, 都不曾使用過","請問您為什麼會最常使用這個品牌的音樂串流App? - 歌曲數目多, 介面使用方便, 具定時停止播放功能, 有自己關注的歌手、DJ, 推薦歌單符合需求, 可以更換介面主題, 價格合理, 經常有特價/促銷活動, 親朋好友推薦, 網路口碑好, 有音樂人，專家使用, 是我熟悉、習慣使用的品牌","請問您平時從哪裡得知音樂串流App的相關資訊? - 電視廣告/節目介紹, 雜誌廣告/報導介紹, 戶外廣告(街頭電視牆/大型看板/掛旗等), 電子郵件/手機簡訊等廣告, 網路廣告, 音樂網站, 音樂串流App Facebook粉絲團, 音樂串流App Instagram官方帳號, 網路口碑推薦(網路報導/部落格/PTT等), 音樂串流App的官方網站, 手機App廣告, 親朋好友推薦, 名人/明星和歌手/網路名人/Youtuber推薦","請問在您挑選與決定使用音樂串流App時，您最重視的訊息來源管道是? - 電視廣告/節目介紹, 雜誌廣告/報導介紹, 戶外廣告(街頭電視牆/大型看板/掛旗等), 電子郵件/手機簡訊等廣告, 網路廣告, 音樂網站, 音樂串流App Facebook粉絲團, 音樂串流App Instagram官方帳號, 網路口碑推薦(網路報導/部落格/PTT等), 音樂串流App的官方網站, 手機App廣告, 親朋好友推薦, 名人/明星和歌手/網路名人/Youtuber推薦",請問您目前的工作狀況是? ,請問您的個人月收入? (包含薪水、房租、退休金、投資收入、利息),請問您是使用這個品牌的哪個付費方案?,請問哪一個音樂串流App是您最常使用的？ (請勾選題目中有顯示的品牌。如果您最近一年只使用一個品牌，請勾選該品牌)
女,iPhone,KKBOX,MELON,Spotify ,1110100,11101000,1000000,11101000,100000,100000,10000000,100000,100000,11101000,10100000,1000,11100000,1000,1100000,1,10001000,1100000,1100000,100000,KKBOX		Apple Music		Street Voice 街聲		Spotify		QQ音樂My Music		Mixer Box		,110010100001,1110100,1000100,100010000000,101000000,100000000,全職員工 (每週工作時數為30小時或以上),"$20,001-$30,000",個人方案,KKBOX
男,iPhone,KKBOX,Spotify,Apple Music,1110000,11100000,1000000,10000000,1000000,11000000,11000000,11000000,11000000,11000000,1,11000000,1100000,1000000,1100000,11100000,11000000,11100000,1100000,1100000,Spotify		KKBOX		Apple Music		Mixer Box		My Music		Street Voice 街聲		QQ音樂,100110001100,1100000,1100000,10000001001,1000101000011,10,全職員工 (每週工作時數為30小時或以上),"$60,001-$70,000",個人方案,KKBOX
男,Xiaomi(小米),Apple Music,Spotify,Mixer Box,1110010,11100100,11100000,11100100,11100100,11100000,11100000,11100100,11100000,100,11100100,11100000,11100000,11100000,11100100,100,100,11100000,11100000,11100000,Apple Music		Spotify		KKBOX		Mixer Box		My Music		Street Voice 街聲		QQ音樂,11110110101,110010,100010,110100000,1000010001,10000,全職員工 (每週工作時數為30小時或以上),"$40,001-$50,000",無付費,Mixer Box
男,HTC,KKBOX,無,無,1100000,10000000,1000000,11000000,11000000,10000000,10000000,11000000,11000000,11000000,11000000,1000000,10000000,1000000,11000000,11000000,11000000,11000000,11000000,1,KKBOX		Spotify		Apple Music		My Music		Street Voice 街聲		Mixer Box		QQ音樂,110010100100,1100000,1000000,100000000100,1000100001000,100000000,學生 - 未兼職,"$5,000以下",個人方案,KKBOX
女,iPhone,KKBOX,Spotify,無,1110000,10000000,1000000,11100000,10100000,1000000,10100000,10000000,11100000,10000000,11100000,1,11100000,1,1000000,10100000,11100000,100000,1100000,11100010,KKBOX		Apple Music		Spotify		My Music		Mixer Box		QQ音樂Street Voice 街聲		,110100110101,1110000,1010000,100100001,11,10,學生 - 兼職打工/實習,"$20,001-$30,000",個人方案,KKBOX
女,SONY,Spotify,無,無,1100000,11000000,11000000,11000000,11000000,11000000,11000000,11000000,11000000,11000000,11000000,11000000,11000000,11000000,11000000,11000000,11000000,11000000,11000000,11000000,Spotify		KKBOX		Apple Music		My Music		Street Voice 街聲		Mixer Box		QQ音樂,111111100101,1110000,100000,10000000,1010111000101,1000000,學生 - 未兼職,"$5,000以下",無付費,KKBOX
女,iPhone,Spotify,Apple Music,KKBOX,1110100,11100000,1000000,11100000,1100000,1100000,11100000,1000000,1000000,1000000,10000000,11101000,11100000,1011000,11101000,11100000,11100000,11100000,11100000,11101000,Spotify		Apple Music		KKBOX		Street Voice 街聲		My Music		Mixer Box		QQ音樂,10110111101,1100100,100000,100110100001,100111010,10000,學生 - 兼職打工/實習,"$5,001-$10,000",個人方案,Spotify
男,iPhone,Spotify,KKBOX,Apple Music,1110110,11101100,1000000,11000000,11001000,11001000,11001000,10001000,1001000,1001000,1000000,1000,11001000,1101000,1000,11000000,11000000,1000000,1100000,11100000,Spotify		KKBOX		Street Voice 街聲		Apple Music		Mixer Box		My Music		QQ音樂,110000111111,1100100,1100100,110100110111,1000110000110,100000000,兼職員工 (每週工作時數介於15- 30小時),"$5,001-$10,000",個人方案,Spotify
女,iPhone,Apple Music,Spotify,KKBOX,1110100,11100000,10000000,11100000,11100000,11000000,10100000,100000,11000000,10000000,11000000,1000,10000000,1101000,1000000,1,10000000,101000,1100000,1100000,Apple Music		Spotify		KKBOX		Street Voice 街聲		My Music		Mixer Box		QQ音樂,110100100101,1110000,110000,1100000001,100000010,10,學生 - 未兼職,"$5,001-$10,000",個人方案,Apple Music
男,iPhone,Spotify,KKBOX,Apple Music ,1110000,11100000,1000000,1,1000000,1000000,1000000,1100000,1100000,1000000,11100000,1,11100000,1,1100000,1000000,11100000,1100000,1100000,1000000,Spotify		Apple Music		KKBOX		Mixer Box		QQ音樂Street Voice 街聲		My Music		,10110100011,1100000,100000,110110110001,10100001,1,學生 - 未兼職,"$10,001-$20,000",個人方案,Spotify
女,iPhone,Apple Music,Spotify,Soundcloud,1110100,1100000,1,1100000,1000000,1100000,1100000,1,1101000,100000,1100000,1101000,1100000,1101000,1000,1000000,100000,1100000,1100000,1000000,Apple Music		Spotify		Street Voice 街聲		KKBOX		My Music		Mixer Box		QQ音樂,100100100011,110100,10000,110100100011,1,1,學生 - 未兼職,"$10,001-$20,000",學生方案,Apple Music
女,iPhone,KKBOX,Apple Music,Spotify,1110110,11100100,11000000,10000000,11000000,1100000,10100000,10100000,11100000,11000000,11100000,11000000,1000000,11000000,11000000,1100000,11100000,10100000,1100000,11100000,Apple Music		KKBOX		Street Voice 街聲		Mixer Box		Spotify		QQ音樂My Music		,110010101100,1110010,1110000,100010100001,100010001,1,學生 - 未兼職,"$20,001-$30,000",學生方案,Apple Music
男,iPhone,KKBOX,Spotify,無,1110010,11100100,1,100000,1000000,10000000,11000000,11000000,10000100,1000100,11000100,1000000,10000000,100000,11100100,10000100,10000100,1100000,1100000,11100000,KKBOX		Spotify		Mixer Box		Apple Music		My Music		Street Voice 街聲		QQ音樂,100010110101,1110010,10010,11000001,1000101000100,100000000,學生 - 兼職打工/實習,"$5,000以下",無付費,Mixer Box
女,OPPO,KKBOX,Spotify ,Apple Music,1111001,1000000,10000000,11000000,10000000,11000000,10000000,10000000,10000000,10000000,11100000,1000000,10000000,1000000,1000000,10000000,10000000,11000000,10100000,1100000,KKBOX		Spotify		Apple Music		My Music		QQ音樂Street Voice 街聲		Mixer Box		,10010101001,1000001,1000000,10010001001,100000110,100000000,學生 - 兼職打工/實習,"$5,001-$10,000",單筆繳費(一年),KKBOX
男,SONY,Sportify,KKBOX,Apple Music,1110000,11000000,1,1,1000000,11100000,11000000,11000000,1000000,1,1000000,1000000,1100000,1000000,1000000,1000000,1000000,1100000,1100000,11100000,Spotify		KKBOX		Apple Music		My Music		Street Voice 街聲		QQ音樂Mixer Box		,110010100100,1100000,100000,100010100100,11000,10000,全職員工 (每週工作時數為30小時或以上),"$90,001-$100,000",個人方案,Spotify
男,iPhone,KKBOX,Spotify,無,1101000,11100000,10010000,10010000,10010000,10010000,10010000,10010000,10010000,10010000,10010000,10010000,10010000,10010000,10010000,10010000,10010000,10010000,10010000,10010000,KKBOX		My Music		Apple Music		Street Voice 街聲		Mixer Box		QQ音樂Spotify		,110000100000,1101000,1101000,100000000100,10010000,10000,全職員工 (每週工作時數為30小時或以上),"$80,001-$90,000",個人方案,KKBOX
男,iPhone,KKBOX ,Spotify,Apple Music ,1110010,10100000,11100000,1000000,11000000,11100000,11000000,10000000,11100000,11000000,11100000,11000000,11100000,1,11000000,10000000,10000000,10100000,11100000,11100000,KKBOX		Spotify		Apple Music		Mixer Box		QQ音樂Street Voice 街聲		My Music		,110110110001,1000000,1000000,110100001,11110000100,100,全職員工 (每週工作時數為30小時或以上),"$30,001-$40,000",單筆繳費(一年),KKBOX
女,iPhone,KKBOX,Apple Music ,無,1110010,10100000,10000000,10000000,10000000,10100000,10100000,10000000,10100000,10000000,11100000,1,10100000,1,1,10100000,10100000,10000000,100000,1,KKBOX		Apple Music		Spotify		Mixer Box		My Music		QQ音樂Street Voice 街聲		,111001001101,1010000,1010000,110001,10100001100,100,學生 - 兼職打工/實習,"$5,001-$10,000",學生方案,Apple Music
女,HTC,Spotify,KKBOX,Apple Music,1110000,11000000,1000000,11100000,11000000,1000000,1000000,11000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,11000000,1000000,1100000,1000000,1000000,Spotify		KKBOX		Apple Music		QQ音樂My Music		Street Voice 街聲		Mixer Box		,110110000001,1100000,100000,110110100001,101100100,100000,兼職員工 (每週工作時數介於15- 30小時),"$10,001-$20,000",個人方案,Spotify
男,Samsung,Spotify,Apple Music,無,1100010,11000000,1,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,Spotify		KKBOX		Mixer Box		Apple Music		My Music		Street Voice 街聲		QQ音樂,111110101111,100000,100000,100110100111,10000,10000,學生 - 未兼職,"$5,001-$10,000",家庭方案,Spotify
男,Asus,Spotify,KKBOX,Apple Music,1110110,1000000,1,11000000,1000000,11100000,1000000,1000000,11100000,1000000,11100000,1000000,1100000,1000000,1000000,1000000,1000000,1000000,1100000,1000000,Spotify		Street Voice 街聲		KKBOX		Apple Music		Mixer Box		My Music		QQ音樂,111100101111,100010,100000,100100101110,10011,1,待業中,"$5,000以下",家庭方案,Spotify
女,iPhone,KKBOX,Spotify ,無,1110010,11100000,1,11000000,11000000,11000000,1,10000000,10000000,10000000,10000000,100,11000000,1000000,1,1,11000000,11000000,11000000,11000000,KKBOX		Spotify		Mixer Box		Apple Music		My Music		QQ音樂Street Voice 街聲		,110010111111,1100010,1000000,1,1000100111011,100000000,學生 - 兼職打工/實習,"$5,001-$10,000",學生方案,KKBOX
女,iPhone,Spotify,KKBOX,無,1110000,10000000,10000000,11000000,1000000,11000000,10000000,10000000,11000000,1000000,1000000,10000000,1000000,1000000,1000000,10000000,10000000,11000000,1000000,11000000,Spotify		KKBOX		Apple Music		Street Voice 街聲		My Music		Mixer Box		QQ音樂,111110001100,1100000,1000000,11110001001,10110,10,學生 - 未兼職,"$5,000以下",個人方案,KKBOX
男,iPhone,Mixer Box,Spotify,iphone,1110010,1100000,1000000,1000100,1000000,1000100,1000100,1000100,1000100,1,1000100,1000000,1000100,1000100,1000100,1000000,1000100,1000000,1000100,1000100,Spotify		Mixer Box		Apple Music		My Music		KKBOX		QQ音樂Street Voice 街聲		,101110111000,100010,100010,100110000000,10,10,兼職員工 (每週工作時數介於15- 30小時),"$20,001-$30,000",無付費,Mixer Box
女,Samsung,KKBOX,Spotify,無,1111011,11000100,10000000,11000100,11000100,11000000,1,11000100,11000000,1,1000000,1000000,1000000,1000000,1000100,100,100,11000000,11000000,11000000,KKBOX		Mixer Box		Spotify		My Music		Street Voice 街聲		Apple Music		QQ音樂,110110100001,1100010,10,110110100000,110000100111,1,學生 - 未兼職,"$5,001-$10,000",無付費,Mixer Box
女,iPhone,Spotify,Street Voice,Apple Music,1110110,11101000,11001000,11000000,11001000,11100110,1001000,1001000,11100110,11001000,1100000,1000,1001000,1101000,1000,11000000,11010110,1001000,1100010,1101000,Spotify		Street Voice 街聲		Apple Music		KKBOX		Mixer Box		QQ音樂My Music		,110100101111,110110,110100,111101,101010110,10,學生 - 兼職打工/實習,"$5,001-$10,000",家庭方案,Spotify
女,iPhone,Spotify,Street Voice,KKBOX,1111100,11001000,1000000,1001000,1001000,1000000,1000000,1000000,1001000,1000000,1000000,1000,1001000,1000,1000000,1,1000000,1000000,1000000,1000000,Spotify		KKBOX		My Music		Street Voice 街聲		Apple Music		QQ音樂Mixer Box		,110100000011,111100,100100,100100101101,10000010,10,學生 - 兼職打工/實習,"$10,001-$20,000",家庭方案,Spotify
男,HTC,Spotify,KKBOX,Apple Music,1110000,11000000,10000000,1000000,1000000,10000000,11000000,10000000,10000000,1000000,10000000,1000000,11000000,1000000,1000000,11000000,11000000,1000000,1000000,1000000,Spotify		KKBOX		Apple Music		My Music		Mixer Box		Street Voice 街聲		QQ音樂,100100100000,1100000,100000,100,100000000,100000000,學生 - 兼職打工/實習,"$5,000以下",個人方案,Spotify
女,iPhone,KKBOX,Spoitfy ,無,1110011,11100000,11000000,1000000,11100000,11000000,11000000,10000000,10000000,11000000,11000000,1000000,11000000,1000000,1000000,11000100,11000000,1000000,11110000,1000000,KKBOX		Spotify		Apple Music		My Music		Mixer Box		QQ音樂Street Voice 街聲		,10000100001,1100010,1000000,0,101,100,學生 - 兼職打工/實習,"$10,001-$20,000",無付費,KKBOX
女,Samsung,KKBOX,無,無,1000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,KKBOX		Apple Music		QQ音樂My Music		Street Voice 街聲		Spotify		Mixer Box		,100000001000,1000000,1000000,100000101001,0,0,全職員工 (每週工作時數為30小時或以上),"$30,001-$40,000",個人方案,KKBOX
男,SONY,KKBOX,Spotify,無,1111111,10100000,1,11101100,11100010,11001110,11001110,11111110,1,1000,1,1001100,11101110,1000,1000,1000000,11000000,1100000,1100100,1000,Spotify		KKBOX		Mixer Box		Street Voice 街聲		Apple Music		QQ音樂My Music		,110110110000,1100011,1100000,10010110001,110,100,全職員工 (每週工作時數為30小時或以上),"$30,001-$40,000",單筆繳費(半年),KKBOX
女,iPhone,KKBOX ,Spotify ,無,1100000,10000000,1,11000000,11000000,1000000,10000000,10000000,1000000,1,10000000,1,1000000,1,1,1,10000000,10000000,1,10000000,KKBOX		Spotify		Apple Music		Mixer Box		My Music		Street Voice 街聲		QQ音樂,111110101111,1000000,1000000,1000001001,10,10,全職員工 (每週工作時數為30小時或以上),"$50,001-$60,000",單筆繳費(一年),KKBOX
女,iPhone,Spotify,KKBOX,Apple Music ,1111111,11101000,1000000,101000,11101000,11000000,11000000,10000000,10100000,1,11000000,11001000,11100000,1000,1001000,11000000,11100000,1100000,1100000,11100000,KKBOX		Spotify		Apple Music		Mixer Box		Street Voice 街聲		My Music		QQ音樂,101010110101,1100110,1100000,100110001000,10001010,10000000,學生 - 兼職打工/實習,"$5,000以下",無付費,Spotify
女,HTC,KKBOX,Spotify,無,1111101,11000010,1000000,1000000,11000000,11000000,1000000,11000000,11000000,11000000,11000000,1000000,1000000,11000000,1000000,1000000,10000000,1000000,11000000,11000000,Spotify		KKBOX		QQ音樂Apple Music		My Music		Street Voice 街聲		Mixer Box		,100110000011,1100001,1100001,1,100010001,10000,學生 - 兼職打工/實習,"$10,001-$20,000",個人方案,KKBOX
男,Asus,KKBOX,Spotify,無,1110010,11000000,11100010,11000000,11000000,11000000,10000000,11000000,11100000,11100000,11100000,11100000,11000000,1000000,11100000,10000000,11000000,1000000,11100000,11110000,KKBOX		Spotify		Apple Music		My Music		Mixer Box		QQ音樂Street Voice 街聲		,111111110100,1100000,1000000,111111100101,110000101,10000000,學生 - 未兼職,"$5,000以下",學生方案,KKBOX
女,iPhone,Spotify,KKBOX,Soundcloud,1110100,1100000,1,1,10000000,1000000,1,1,1000000,1000000,1000000,1100,11100010,11100,1000,1,11101010,1110100,1100000,11100100,Spotify		Apple Music		KKBOX		QQ音樂My Music		Mixer Box		Street Voice 街聲		,110110100001,110100,100000,110110000011,1010111001101,1,學生 - 未兼職,"$5,000以下",無付費,Spotify
女,iPhone,Spotify,Apple Music,KKBOX,1110111,11100000,1,11100000,1100000,1100000,1000000,11101000,1101000,1101000,1101010,1001000,1101000,1000,1001100,10000000,11000000,1101000,1100000,1001100,Spotify		Apple Music		Street Voice 街聲		KKBOX		QQ音樂Mixer Box		My Music		,110110111101,100000,100000,110011101111,100000110,10,全職員工 (每週工作時數為30小時或以上),"$30,001-$40,000",家庭方案,Spotify
女,iPhone,Apple Music,KKBOX,Spotify,1110010,11100100,10100000,10000000,10100000,10100000,10000000,10000000,10100000,10100000,1100000,1100000,1100000,1000000,10000000,10000000,10100000,1,1100000,1,KKBOX		Apple Music		Spotify		Mixer Box		My Music		Street Voice 街聲		QQ音樂,100110110100,1110010,1010000,100110000000,1000100010110,1000000000000,兼職員工 (每週工作時數介於15- 30小時),"$60,001-$70,000",個人方案,Apple Music
女,iPhone,KKBOX,Apple Music ,Spotify ,1110000,11100000,1,10000000,11100000,10000000,10000000,10000000,10000000,1,10000000,1,10000000,1,1,1,10000000,1,1100000,11100000,KKBOX		Apple Music		Spotify		My Music		Street Voice 街聲		Mixer Box		QQ音樂,100010100001,1000000,1000000,110000001,100011001,1000,全職員工 (每週工作時數為30小時或以上),"$50,001-$60,000",個人方案,KKBOX
女,iPhone,Spotify,KKBOX,無,1110000,1100000,1,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,Spotify		KKBOX		Apple Music		Street Voice 街聲		My Music		Mixer Box		QQ音樂,110010100001,1100000,1100000,110010100000,10110000110,100000000,全職員工 (每週工作時數為30小時或以上),"$30,001-$40,000",家庭方案,Spotify
女,iPhone,KKBOX,Apple Music,無,1100010,10000100,10000000,1,10000000,10000100,1,100,10000000,10000000,10000100,10000000,10000100,1000000,1,10000100,100,10000000,10000000,10000000,Mixer Box		KKBOX		Apple Music		My Music		Spotify		Street Voice 街聲		QQ音樂,110000000001,10,10,1,100,100,全職員工 (每週工作時數為30小時或以上),"$30,001-$40,000",無付費,Mixer Box
男,SONY,Spotify,KKBOX,Youtube,1110000,1100000,11000000,11000000,1000000,11000000,1000000,1000000,11100000,11000000,11000000,1000000,10000000,100000,100000,1000000,1000000,1100000,1100000,1100000,Spotify		KKBOX		Apple Music		My Music		Street Voice 街聲		Mixer Box		QQ音樂,10100001,100000,100000,10000001000,1100,1000,學生 - 兼職打工/實習,"$5,001-$10,000",家庭方案,Spotify
男,iPhone,KKBOX ,Spotify,無,1111000,11100000,10000000,11000000,11000000,11100000,10000000,10100000,10100000,10100000,10000000,1000000,11000000,11100000,11000000,11000000,11000000,11000000,11000000,11000000,KKBOX		Spotify		Apple Music		QQ音樂Street Voice 街聲		My Music		Mixer Box		,101110000101,1100000,1100000,100110100001,110001001,1000,全職員工 (每週工作時數為30小時或以上),"$20,001-$30,000",個人方案,KKBOX
女,iPhone,KKBOX,Spotify ,Apple Music,1111110,11100000,10000000,11000000,11100000,11000000,1000000,10000000,11000000,11000000,11000000,1000000,10000000,1,1000000,1000000,11000000,1000000,1000000,1000000,KKBOX		Spotify		Apple Music		Street Voice 街聲		Mixer Box		My Music		QQ音樂,100100000001,1110110,1110100,10100001,10010,10,學生 - 兼職打工/實習,"$5,001-$10,000",家庭方案,Spotify
女,iPhone,Spotify,Mixer Box,KKBOX,1110010,11000000,1,1000000,11000100,11000000,1000000,100,1000000,100,1000000,1100000,1001100,1000,1,100,10000000,11100000,1100000,11100000,Mixer Box		Spotify		KKBOX		Apple Music		My Music		Street Voice 街聲		QQ音樂,110110101111,1100010,10,0,10010,10,全職員工 (每週工作時數為30小時或以上),"$40,001-$50,000",無付費,Mixer Box
女,iPhone,Spotify,KKBOX,無,1110010,1000100,10000000,11000000,11000000,1000100,1000000,11000100,1000100,1000000,1000000,1100000,11000000,1000000,10000100,1000000,11000000,1000000,1000000,1000000,Spotify		KKBOX		Mixer Box		Apple Music		Street Voice 街聲		QQ音樂My Music		,110000111100,1110010,100000,100000101000,11010,10000,學生 - 兼職打工/實習,"$5,000以下",家庭方案,Spotify
男,iPhone,KKBOX ,Apple Music ,Spotify ,1110011,10000000,1,11000000,11100000,11100000,11100000,11100000,11100000,10100000,11100000,11100000,11100000,11100000,11100000,11100000,11000000,11100000,1100000,11100000,KKBOX		Spotify		Apple Music		Mixer Box		QQ音樂My Music		Street Voice 街聲		,110100111111,1110000,1100000,100000001111,1010001000,10000000,學生 - 兼職打工/實習,"$10,001-$20,000",個人方案,KKBOX
男,iPhone,KKBOX,無,無,1000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,KKBOX		Street Voice 街聲		Spotify		My Music		Apple Music		QQ音樂Mixer Box		,100,1000000,1000000,100000000000,10,10,學生 - 未兼職,"$5,000以下",個人方案,Apple Music
男,HTC,Spotify,KKBOX,Apple Music,1111001,11000000,1000000,11000000,11000000,11000000,1000000,11000000,11000000,11000000,11000000,1000000,11000000,11000000,11000000,11000000,11000000,1000000,1100000,11100000,Spotify		KKBOX		Apple Music		My Music		Mixer Box		QQ音樂Street Voice 街聲		,110110101111,1100000,100000,110110101111,1101010100,100000000,學生 - 兼職打工/實習,"$10,001-$20,000",家庭方案,Spotify
女,iPhone,Spotify ,KKBOX,無,1110001,1100000,11100000,10000000,1000000,11100000,11000000,11000000,11000000,1000000,1000000,1000000,11100000,1000000,1000000,11000000,11000000,1000000,1100000,11100000,Spotify		KKBOX		Apple Music		Mixer Box		My Music		Street Voice 街聲		QQ音樂,111110100001,1100000,100000,111110100101,110010000,10000,兼職員工 (每週工作時數介於15- 30小時),"$10,001-$20,000",家庭方案,Spotify
女,iPhone,KKBOX,Spoifty ,Apple Music,1110000,11000000,100000,11100000,11100000,11000000,10000000,10100000,1100000,10000000,11100000,10000000,1000000,10000000,100000,100000,10000000,1000000,100000,10100000,KKBOX		Apple Music		Spotify		My Music		Street Voice 街聲		Mixer Box		QQ音樂,110010100000,1110000,1000000,110100001000,10,10,全職員工 (每週工作時數為30小時或以上),"$40,001-$50,000",個人方案,KKBOX
女,iPhone,Spotify ,Street Voice,無,1110111,11000000,10000000,1000,10000000,11001000,10000000,1000000,1000000,1000,1000000,1000,11000000,1000,1000,1,1000000,1000000,1000000,11000000,Street Voice 街聲		Spotify		KKBOX		QQ音樂Mixer Box		Apple Music		My Music		,110110100011,1100100,100100,100010000001,10000000110,10,學生 - 兼職打工/實習,"$5,000以下",無付費,Spotify
男,Nokia,Spotify,KKBOX,無,1110100,11101000,11000000,11000000,11000000,11000000,11000000,11000000,11000000,11100000,11100000,1000000,11000000,11001000,11101000,11000000,11100000,11101000,11100000,1000000,KKBOX		Spotify		Street Voice 街聲		Apple Music		My Music		Mixer Box		QQ音樂,110111110111,1110100,1100000,10110100000,110111000,100000000,待業中,"$5,000以下",單筆繳費(半年),KKBOX
女,iPhone,Spotify,Apple Music,KKBOX,1110001,1,1,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1100000,1000000,1100000,100000,1100000,1000000,1000000,100000,1100000,100000,Spotify		Apple Music		KKBOX		QQ音樂My Music		Mixer Box		Street Voice 街聲		,110110100001,1110000,110000,1,1000000,1000000,全職員工 (每週工作時數為30小時或以上),"$30,001-$40,000",個人方案,Apple Music
女,iPhone,KKBOX ,Spotify ,無,1110110,11001000,1,11000000,11001000,11001000,11000000,11001100,11001000,11001000,1000000,1001000,11000000,1001000,1000,10000000,11000000,1000000,1000000,11000000,KKBOX		Spotify		Street Voice 街聲		Mixer Box		Apple Music		My Music		QQ音樂,110000110001,1100110,1100110,100001,100,100,學生 - 兼職打工/實習,"$5,000以下",學生方案,KKBOX
女,iPhone,Spotify,KKBOX,無,1110010,1000000,1000000,10000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000100,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,Spotify		KKBOX		Apple Music		Apple Music		My Music		Street Voice 街聲		Mixer Box		,111011110100,100000,100000,100101100100,1010000001000,1000,全職員工 (每週工作時數為30小時或以上),"$30,001-$40,000",個人方案,Spotify
